Paso de Tiempo,Estado Anterior,Accion Tomada,Recompensa
109,"(1, 0, 0)",SEGUIR_CICLO,5.0
110,"(2, 0, 0)",SEGUIR_CICLO,5.0
111,"(0, 0, 0)",SEGUIR_CICLO,5.0
112,"(2, 0, 0)",SEGUIR_CICLO,5.0
113,"(3, 0, 0)",SEGUIR_CICLO,5.0
114,"(0, 0, 0)",SEGUIR_CICLO,5.0
115,"(2, 0, 0)",SEGUIR_CICLO,5.0
116,"(0, 0, 0)",SEGUIR_CICLO,5.0
117,"(1, 0, 0)",SEGUIR_CICLO,5.0
118,"(0, 0, 0)",SEGUIR_CICLO,5.0
119,"(1, 0, 0)",SEGUIR_CICLO,5.0
120,"(2, 0, 0)",SEGUIR_CICLO,5.0
121,"(0, 0, 0)",ATENDER_PEATON,-10.0
122,"(2, 0, 0)",FORZAR_CAMBIO,-10.0
123,"(0, 0, 0)",SEGUIR_CICLO,5.0
